client,client_entities_total,bank,entities_at_bank,accounts_at_bank,active_accounts_at_bank,tx_total,tx_last_90d,monthly_amount_usd,mrr_usd,hubspot_deal,match_confidence
Supermercados Rio Vida,3,Banesco,3,7,5,332579,117208,250,,Supermercados RioVida,high
Farmacias San Ignacio,74,Banesco,59,71,57,220996,110143,1500,2000,Red de farmacias San Ignacio,medium
CAMOR INTERNACIONAL,9,Banesco,8,41,32,222222,61511,1100,,Camor International,high
Canguro Venezuela,11,Banesco,10,12,10,135352,54307,1350,,Canguro Venezuela,high
Grupo UP,3,Banesco,3,15,14,147762,38943,999,,Constructora Pedeca,high
FARMABIEN,1,Banesco,1,6,4,25832,24116,1000,,Farmabien,high
Cines unidos,2,Banesco,2,8,7,90950,18769,225,,Cines Unidos,high
MARCAS PROPIAS,2,Banesco,2,4,3,30782,17652,1900,,Balú - Grupo Futura,high
Grupo cashea,1,Banesco,1,4,3,28825,13676,7000,7000,Cashea,high
INVERSIONES PAD 21,8,Banesco,6,13,9,63845,13245,750,,Inversiones PAD 21,high
Grupo Leiros,13,Banesco,13,15,15,51611,10454,699,,Grupo Leiros,high
"Alimentos Alvarigua, c.a.",1,Banesco,1,3,3,39858,9665,449,,Alvarigua,high
ALIMENTOS LPRADO,2,Banesco,2,4,2,55262,8673,999,,Alimentos L'Prado,high
COSEIMPA,2,Banesco,2,4,4,37827,7977,500,,Coseimpa,high
Maxy Sweet,5,Banesco,5,8,7,15399,7681,315,450,Maxy Sweet (Grupo Da Silva),high
alimentosmunchy,1,Banesco,1,2,1,29624,6912,1000,,Alimentos Munchy,high
Soluciones Tu Gruero,1,Banesco,1,2,1,20194,6049,449,,Tu Gruero,high
EOODI,4,Banesco,4,13,12,21883,5785,800,1000,En Otro Orden de Ideas,high
Yummy,3,Banesco,2,5,3,14152,5736,500,,Yummy,high
"MangoCenter, C.A.",1,Banesco,1,1,1,17641,5616,649,,Mangocenter,high
PLAN B,23,Banesco,15,18,13,27595,5586,999,,Plan B,high
Grupo Landa,8,Banesco,5,10,5,25872,5556,375,,Grupo Landa,high
Alimentos Global,5,Banesco,4,15,9,13969,5376,400,400,"Comercializadora de Alimentos Global M&P, C.A",high
CORPORACION BEL,17,Banesco,17,29,9,12651,4583,500,800,Corporación Bel,high
Empresas Tapa Amarilla,2,Banesco,2,2,2,16806,4569,599,,Empresas Tapa Amarilla,high
"Estar Seguros, S.A.",1,Banesco,1,1,1,26479,4457,549,,"Estar Seguros, S.A.",high
Grupo Nueve Once,2,Banesco,2,4,2,27566,4447,449,,Grupo Nueve Once,high
Cruz Roja,1,Banesco,1,11,8,8103,4355,612.5,875,Cruz Roja Venezolana,high
PINECO,4,Banesco,4,4,4,14868,4073,450,,Pineco,high
APB GROUP,11,Banesco,10,22,10,6135,3930,650,650,APB Group,high
Grupo Del Este,6,Banesco,4,4,4,12562,3882,300,,Grupo del Este,high
PASTCA,1,Banesco,1,2,1,23987,3750,349,,Paisa (Pasteurizadora Táchira),high
Grupo Mimesa,3,Banesco,3,9,3,37234,3614,750,1500,Grupo Mimesa,high
Megalabs,1,Banesco,1,3,1,11344,3562,800,,Megalabs,high
Grupo Maralac,4,Banesco,4,5,4,21841,3384,299,,Grupo Maralac,high
Capitalfoods,2,Banesco,2,5,3,10850,3171,449,,Capital Foods,high
suvica,3,Banesco,2,4,2,11206,3092,500,,Suvica,high
